id,sex,age,city,education_level,university,main_in_life,main_in_people,smoking,alcohol,political
3878124467,м,28,СПб,высшее,СПбГУ,карьера,влияние,положительное,положительное,экстремистские
5117019011,м,56,Казань,высшее,МГУ,деньги,деньги,положительное,положительное,радикальные
9922949929,ж,19,Москва,высшее,СПбГУ,власть,деньги,положительное,положительное,радикальные
1447458477,м,61,Екатеринбург,высшее,ИТМО,карьера,влияние,положительное,положительное,экстремистские
4821339343,ж,50,Казань,высшее,УрФУ,деньги,деньги,положительное,положительное,радикальные
3825271950,ж,65,Казань,высшее,СПбГУ,карьера,статус,положительное,положительное,радикальные
3180498924,ж,55,СПб,высшее,ИТМО,карьера,деньги,положительное,положительное,экстремистские
3359649609,м,31,Уфа,высшее,ИТМО,деньги,деньги,положительное,положительное,экстремистские
5780477837,м,47,Казань,высшее,СПбГУ,деньги,деньги,положительное,положительное,радикальные
3112591083,м,57,Москва,высшее,СПбГУ,власть,статус,положительное,положительное,радикальные
2560791951,м,61,Екатеринбург,высшее,УрФУ,власть,деньги,положительное,положительное,экстремистские
9861378369,ж,38,Уфа,высшее,ИТМО,власть,влияние,положительное,положительное,радикальные
9323644969,ж,61,СПб,высшее,ИТМО,деньги,деньги,положительное,положительное,экстремистские
3024189574,ж,50,Екатеринбург,высшее,ИТМО,власть,статус,положительное,положительное,экстремистские
1386729307,ж,26,Уфа,высшее,МГУ,власть,влияние,положительное,положительное,радикальные
1670305034,ж,47,Уфа,высшее,СПбГУ,власть,влияние,положительное,положительное,экстремистские
9026996695,м,27,Екатеринбург,высшее,УрФУ,карьера,деньги,положительное,положительное,радикальные
9945190158,м,61,Казань,высшее,УрФУ,деньги,статус,положительное,положительное,радикальные
2865226532,м,23,Москва,высшее,УрФУ,деньги,статус,положительное,положительное,экстремистские
8884662163,ж,65,Москва,высшее,ИТМО,власть,деньги,положительное,положительное,радикальные
9021410086,ж,33,Москва,высшее,МГУ,власть,статус,положительное,положительное,радикальные
9103155551,м,37,Уфа,высшее,ИТМО,карьера,деньги,положительное,положительное,экстремистские
3716674572,ж,44,Москва,высшее,УрФУ,карьера,статус,положительное,положительное,экстремистские
5812094072,ж,49,Казань,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
738868443,м,47,Уфа,высшее,МГУ,деньги,влияние,положительное,положительное,экстремистские
3741289182,ж,63,Екатеринбург,высшее,МГУ,карьера,влияние,положительное,положительное,экстремистские
7172594989,м,24,Москва,высшее,СПбГУ,власть,влияние,положительное,положительное,экстремистские
3351190612,ж,63,Казань,высшее,УрФУ,деньги,влияние,положительное,положительное,экстремистские
6884903919,ж,35,Казань,высшее,МГУ,власть,влияние,положительное,положительное,радикальные
9629649195,м,56,СПб,высшее,МГУ,власть,деньги,положительное,положительное,экстремистские
2875514526,ж,34,Казань,высшее,СПбГУ,власть,деньги,положительное,положительное,радикальные
9082337642,ж,43,Казань,высшее,ИТМО,деньги,деньги,положительное,положительное,радикальные
6112151218,ж,29,Казань,высшее,МГУ,власть,статус,положительное,положительное,экстремистские
6748935000,м,18,Казань,высшее,УрФУ,карьера,статус,положительное,положительное,экстремистские
2762422921,м,27,СПб,высшее,УрФУ,карьера,статус,положительное,положительное,экстремистские
6454114850,м,51,СПб,высшее,МГУ,власть,деньги,положительное,положительное,экстремистские
7099914918,ж,36,Екатеринбург,высшее,ИТМО,власть,деньги,положительное,положительное,экстремистские
1190689129,ж,51,Москва,высшее,УрФУ,власть,влияние,положительное,положительное,экстремистские
8085913634,м,60,Уфа,высшее,СПбГУ,карьера,влияние,положительное,положительное,радикальные
1537538261,м,18,СПб,высшее,МГУ,деньги,статус,положительное,положительное,экстремистские
7248925324,ж,45,Казань,высшее,ИТМО,деньги,статус,положительное,положительное,экстремистские
493056133,м,52,Екатеринбург,высшее,СПбГУ,власть,деньги,положительное,положительное,радикальные
2205611660,м,42,СПб,высшее,ИТМО,деньги,деньги,положительное,положительное,экстремистские
5281394335,ж,43,Уфа,высшее,УрФУ,карьера,влияние,положительное,положительное,радикальные
903960189,ж,65,Уфа,высшее,ИТМО,власть,влияние,положительное,положительное,экстремистские
6059527127,м,62,СПб,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
682443601,ж,41,Екатеринбург,высшее,СПбГУ,карьера,влияние,положительное,положительное,радикальные
8014641323,м,65,Уфа,высшее,ИТМО,деньги,статус,положительное,положительное,радикальные
6414775693,м,21,Казань,высшее,ИТМО,власть,влияние,положительное,положительное,экстремистские
2824535695,м,31,Екатеринбург,высшее,МГУ,власть,влияние,положительное,положительное,экстремистские
6950431513,м,58,Казань,высшее,СПбГУ,деньги,статус,положительное,положительное,экстремистские
7548463099,ж,54,Екатеринбург,высшее,ИТМО,власть,деньги,положительное,положительное,радикальные
7726786562,м,46,Уфа,высшее,ИТМО,карьера,деньги,положительное,положительное,экстремистские
1073364888,ж,62,СПб,высшее,МГУ,карьера,влияние,положительное,положительное,радикальные
552699665,ж,34,Екатеринбург,высшее,УрФУ,карьера,статус,положительное,положительное,экстремистские
9511058823,м,46,Казань,высшее,УрФУ,карьера,статус,положительное,положительное,радикальные
6452767887,ж,24,Казань,высшее,МГУ,карьера,влияние,положительное,положительное,экстремистские
5965816682,м,42,СПб,высшее,СПбГУ,карьера,деньги,положительное,положительное,экстремистские
8481117205,ж,25,Казань,высшее,ИТМО,власть,статус,положительное,положительное,радикальные
3770593648,м,29,СПб,высшее,МГУ,карьера,влияние,положительное,положительное,радикальные
2000367548,м,21,Москва,высшее,СПбГУ,власть,статус,положительное,положительное,радикальные
4339951763,ж,45,Москва,высшее,МГУ,карьера,влияние,положительное,положительное,радикальные
3280481292,ж,33,Москва,высшее,СПбГУ,деньги,влияние,положительное,положительное,экстремистские
961933758,ж,40,СПб,высшее,ИТМО,деньги,влияние,положительное,положительное,экстремистские
145679522,м,58,СПб,высшее,УрФУ,деньги,деньги,положительное,положительное,экстремистские
4489274931,м,23,Екатеринбург,высшее,МГУ,власть,деньги,положительное,положительное,экстремистские
8107802606,м,42,Уфа,высшее,СПбГУ,деньги,статус,положительное,положительное,радикальные
5408329695,м,32,Екатеринбург,высшее,УрФУ,власть,влияние,положительное,положительное,экстремистские
7402693981,м,47,Казань,высшее,УрФУ,деньги,статус,положительное,положительное,экстремистские
4898954903,м,62,Москва,высшее,МГУ,деньги,деньги,положительное,положительное,радикальные
5207230382,ж,39,Уфа,высшее,УрФУ,карьера,деньги,положительное,положительное,радикальные
1963812023,ж,49,Москва,высшее,МГУ,власть,деньги,положительное,положительное,радикальные
6939450981,м,56,Уфа,высшее,ИТМО,деньги,деньги,положительное,положительное,радикальные
6985062267,ж,23,СПб,высшее,МГУ,власть,деньги,положительное,положительное,радикальные
2453270235,м,30,Уфа,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
1591114776,м,65,Казань,высшее,УрФУ,деньги,деньги,положительное,положительное,радикальные
2417724400,ж,50,Екатеринбург,высшее,МГУ,деньги,влияние,положительное,положительное,радикальные
878083286,ж,43,Уфа,высшее,МГУ,власть,статус,положительное,положительное,радикальные
7301149398,ж,18,Екатеринбург,высшее,МГУ,власть,деньги,положительное,положительное,радикальные
439619515,м,55,Москва,высшее,СПбГУ,деньги,деньги,положительное,положительное,радикальные
7606744059,м,21,СПб,высшее,СПбГУ,власть,статус,положительное,положительное,экстремистские
3601457841,м,61,Уфа,высшее,УрФУ,деньги,статус,положительное,положительное,радикальные
6996186456,м,29,СПб,высшее,МГУ,карьера,влияние,положительное,положительное,радикальные
5899668908,м,33,СПб,высшее,МГУ,власть,деньги,положительное,положительное,радикальные
9343184852,ж,64,Уфа,высшее,СПбГУ,власть,деньги,положительное,положительное,экстремистские
1851097688,ж,23,Уфа,высшее,СПбГУ,власть,влияние,положительное,положительное,радикальные
4801409955,м,62,СПб,высшее,УрФУ,власть,деньги,положительное,положительное,экстремистские
3335703877,ж,19,СПб,высшее,СПбГУ,карьера,влияние,положительное,положительное,радикальные
4901985641,м,18,Казань,высшее,УрФУ,деньги,деньги,положительное,положительное,радикальные
3659465299,ж,63,Екатеринбург,высшее,СПбГУ,карьера,статус,положительное,положительное,радикальные
2014919789,ж,45,СПб,высшее,ИТМО,карьера,статус,положительное,положительное,радикальные
9286879745,ж,46,Екатеринбург,высшее,МГУ,деньги,статус,положительное,положительное,экстремистские
8313570821,ж,47,СПб,высшее,УрФУ,карьера,влияние,положительное,положительное,экстремистские
5229200823,м,50,СПб,высшее,УрФУ,власть,деньги,положительное,положительное,экстремистские
5507687928,м,42,Казань,высшее,УрФУ,карьера,статус,положительное,положительное,экстремистские
3842714028,ж,63,Уфа,высшее,СПбГУ,карьера,деньги,положительное,положительное,радикальные
354109206,м,37,Казань,высшее,МГУ,власть,статус,положительное,положительное,экстремистские
7985794691,ж,33,Уфа,высшее,МГУ,власть,статус,положительное,положительное,радикальные
1944395006,ж,59,Москва,высшее,СПбГУ,власть,деньги,положительное,положительное,экстремистские
2108516761,ж,37,СПб,высшее,СПбГУ,власть,статус,положительное,положительное,радикальные
6335538851,м,33,Казань,высшее,СПбГУ,власть,деньги,положительное,положительное,экстремистские
8347768343,м,45,Екатеринбург,высшее,МГУ,карьера,деньги,положительное,положительное,радикальные
6367942227,ж,27,Казань,высшее,УрФУ,власть,влияние,положительное,положительное,экстремистские
1642905097,м,36,Москва,высшее,ИТМО,карьера,статус,положительное,положительное,радикальные
2532945241,ж,21,Екатеринбург,высшее,СПбГУ,карьера,влияние,положительное,положительное,радикальные
9198326645,ж,35,Уфа,высшее,ИТМО,карьера,влияние,положительное,положительное,радикальные
9290963345,ж,44,Москва,высшее,СПбГУ,власть,статус,положительное,положительное,экстремистские
3078905582,ж,33,Казань,высшее,УрФУ,карьера,статус,положительное,положительное,радикальные
6951613835,ж,65,Уфа,высшее,СПбГУ,власть,деньги,положительное,положительное,экстремистские
6043694414,ж,29,Уфа,высшее,МГУ,карьера,деньги,положительное,положительное,радикальные
560754546,ж,44,Москва,высшее,МГУ,власть,влияние,положительное,положительное,радикальные
9942381558,ж,28,Москва,высшее,ИТМО,карьера,статус,положительное,положительное,экстремистские
2662441651,ж,29,Уфа,высшее,СПбГУ,деньги,влияние,положительное,положительное,радикальные
2307276741,м,52,СПб,высшее,СПбГУ,власть,деньги,положительное,положительное,экстремистские
6450087264,ж,32,СПб,высшее,ИТМО,деньги,влияние,положительное,положительное,экстремистские
2953446916,м,64,Казань,высшее,СПбГУ,карьера,деньги,положительное,положительное,радикальные
1916980544,м,52,СПб,высшее,УрФУ,власть,деньги,положительное,положительное,экстремистские
6283268467,ж,48,Казань,высшее,УрФУ,власть,статус,положительное,положительное,экстремистские
6870227102,ж,60,Казань,высшее,УрФУ,власть,деньги,положительное,положительное,радикальные
5867162796,м,25,Казань,высшее,СПбГУ,деньги,влияние,положительное,положительное,радикальные
9037954457,м,31,Москва,высшее,СПбГУ,деньги,статус,положительное,положительное,экстремистские
9377427203,м,52,Уфа,высшее,МГУ,деньги,влияние,положительное,положительное,радикальные
3973158729,м,54,Уфа,высшее,УрФУ,деньги,влияние,положительное,положительное,экстремистские
8962082515,м,31,Екатеринбург,высшее,СПбГУ,деньги,влияние,положительное,положительное,экстремистские
4269679404,ж,55,Москва,высшее,СПбГУ,деньги,деньги,положительное,положительное,экстремистские
8321230234,ж,42,СПб,высшее,МГУ,карьера,статус,положительное,положительное,экстремистские
5551800320,ж,45,Екатеринбург,высшее,ИТМО,деньги,влияние,положительное,положительное,радикальные
3842490428,м,56,Екатеринбург,высшее,МГУ,власть,деньги,положительное,положительное,экстремистские
4996044560,м,63,Москва,высшее,МГУ,власть,статус,положительное,положительное,радикальные
7612192606,м,43,СПб,высшее,УрФУ,власть,деньги,положительное,положительное,радикальные
3623861848,ж,35,Москва,высшее,УрФУ,власть,деньги,положительное,положительное,радикальные
2911377282,м,38,Казань,высшее,УрФУ,власть,статус,положительное,положительное,экстремистские
798791059,ж,36,Уфа,высшее,УрФУ,карьера,статус,положительное,положительное,радикальные
7629376922,ж,25,СПб,высшее,МГУ,власть,статус,положительное,положительное,экстремистские
2840478082,м,38,Казань,высшее,ИТМО,власть,статус,положительное,положительное,экстремистские
7617232818,ж,44,СПб,высшее,ИТМО,деньги,влияние,положительное,положительное,экстремистские
4499628049,м,39,Казань,высшее,ИТМО,власть,деньги,положительное,положительное,радикальные
7789613907,м,48,Москва,высшее,ИТМО,деньги,влияние,положительное,положительное,радикальные
7250516781,ж,60,Казань,высшее,СПбГУ,карьера,статус,положительное,положительное,радикальные
2392840609,ж,65,Екатеринбург,высшее,СПбГУ,власть,деньги,положительное,положительное,радикальные
4916115923,м,50,Екатеринбург,высшее,СПбГУ,деньги,деньги,положительное,положительное,экстремистские
7159411030,ж,64,Москва,высшее,УрФУ,власть,статус,положительное,положительное,экстремистские
9959569034,м,41,Екатеринбург,высшее,МГУ,деньги,статус,положительное,положительное,экстремистские
5533928658,ж,37,Москва,высшее,ИТМО,власть,статус,положительное,положительное,радикальные
4628485771,м,41,Уфа,высшее,УрФУ,власть,деньги,положительное,положительное,экстремистские
4809123782,м,56,Москва,высшее,УрФУ,карьера,деньги,положительное,положительное,радикальные
6610631363,м,30,СПб,высшее,МГУ,деньги,влияние,положительное,положительное,экстремистские
4997437419,м,56,Уфа,высшее,СПбГУ,власть,статус,положительное,положительное,экстремистские
201274736,ж,18,Казань,высшее,СПбГУ,деньги,деньги,положительное,положительное,радикальные
9871858611,м,22,Екатеринбург,высшее,СПбГУ,власть,статус,положительное,положительное,радикальные
9889960265,ж,35,Казань,высшее,МГУ,карьера,деньги,положительное,положительное,экстремистские
9808465723,м,39,Казань,высшее,МГУ,карьера,влияние,положительное,положительное,экстремистские
8754715705,ж,56,Уфа,высшее,УрФУ,власть,статус,положительное,положительное,радикальные
1818212606,м,40,Екатеринбург,высшее,МГУ,власть,влияние,положительное,положительное,экстремистские
3762257428,ж,35,Уфа,высшее,УрФУ,карьера,деньги,положительное,положительное,радикальные
7090016430,м,28,Москва,высшее,СПбГУ,власть,статус,положительное,положительное,экстремистские
1369054153,м,25,Москва,высшее,СПбГУ,карьера,деньги,положительное,положительное,радикальные
3241667389,м,55,Москва,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
1629771749,м,43,СПб,высшее,СПбГУ,власть,деньги,положительное,положительное,экстремистские
9639079834,ж,34,Казань,высшее,УрФУ,деньги,статус,положительное,положительное,радикальные
848659883,ж,22,Казань,высшее,ИТМО,карьера,влияние,положительное,положительное,экстремистские
870686833,ж,40,Казань,высшее,ИТМО,власть,статус,положительное,положительное,радикальные
8394999861,м,19,Екатеринбург,высшее,МГУ,власть,влияние,положительное,положительное,радикальные
8503472042,ж,33,Москва,высшее,СПбГУ,власть,статус,положительное,положительное,радикальные
1421404376,ж,50,Москва,высшее,ИТМО,власть,деньги,положительное,положительное,радикальные
2421347060,м,61,Казань,высшее,ИТМО,деньги,влияние,положительное,положительное,радикальные
1782819261,ж,34,Казань,высшее,УрФУ,карьера,статус,положительное,положительное,экстремистские
1884649972,м,47,СПб,высшее,МГУ,карьера,статус,положительное,положительное,радикальные
3374896088,ж,53,Екатеринбург,высшее,ИТМО,карьера,статус,положительное,положительное,экстремистские
6391161908,ж,64,СПб,высшее,СПбГУ,власть,деньги,положительное,положительное,экстремистские
8233053077,ж,29,Екатеринбург,высшее,МГУ,власть,влияние,положительное,положительное,радикальные
5823293933,ж,40,Уфа,высшее,МГУ,карьера,деньги,положительное,положительное,экстремистские
565316005,м,24,СПб,высшее,УрФУ,власть,влияние,положительное,положительное,экстремистские
1514723330,ж,31,СПб,высшее,МГУ,деньги,влияние,положительное,положительное,экстремистские
1751908942,ж,61,Екатеринбург,высшее,МГУ,деньги,деньги,положительное,положительное,радикальные
8030374221,ж,26,Казань,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
3651014120,м,57,СПб,высшее,ИТМО,деньги,влияние,положительное,положительное,экстремистские
6829783144,ж,47,Москва,высшее,ИТМО,деньги,деньги,положительное,положительное,радикальные
6276835460,м,57,Екатеринбург,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
6676791584,ж,44,Уфа,высшее,ИТМО,деньги,статус,положительное,положительное,радикальные
6283385088,ж,55,Москва,высшее,МГУ,деньги,влияние,положительное,положительное,экстремистские
933872187,м,26,Москва,высшее,СПбГУ,деньги,деньги,положительное,положительное,радикальные
8422502925,м,36,Уфа,высшее,УрФУ,деньги,влияние,положительное,положительное,радикальные
3672377718,ж,23,Казань,высшее,СПбГУ,деньги,влияние,положительное,положительное,экстремистские
405920675,ж,50,СПб,высшее,УрФУ,власть,деньги,положительное,положительное,экстремистские
4063522596,ж,48,Москва,высшее,МГУ,карьера,влияние,положительное,положительное,экстремистские
8309002684,ж,63,Москва,высшее,МГУ,власть,статус,положительное,положительное,экстремистские
4760368037,м,48,Уфа,высшее,УрФУ,деньги,влияние,положительное,положительное,экстремистские
5654379757,м,29,Москва,высшее,УрФУ,власть,статус,положительное,положительное,радикальные
9306817689,ж,35,Казань,высшее,МГУ,власть,деньги,положительное,положительное,экстремистские
8840986503,м,65,Уфа,высшее,МГУ,карьера,деньги,положительное,положительное,радикальные
