id,sex,age,city,education_level,university,main_in_life,main_in_people,smoking,alcohol,political,synthetic_cluster
18,ж,36,Екатеринбург,высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,негативное,компромиссное,Консервативные,reliable
19,ж,22,Самара,среднее,,саморазвитие,ум и креативность,компромиссное,нейтральное,Индифферентные,borderline
20,ж,23,Уфа,высшее,ИТМО,совершенствование мира,смелость и упорство,компромиссное,нейтральное,Умеренные,reliable
21,ж,27,Москва,высшее,МГУ,карьера и деньги,доброта и честность,резко негативное,компромиссное,Умеренные,reliable
22,ж,38,Новосибирск,среднее,,развлечения и отдых,власть и богатство,положительное,нейтральное,Либеральные,risky
23,м,36,Москва,среднее,,семья и дети,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
24,м,39,Челябинск,высшее,РАНХиГС,семья и дети,ум и креативность,негативное,резко негативное,Умеренные,reliable
25,м,31,Казань,высшее,ТГУ,карьера и деньги,власть и богатство,компромиссное,положительное,Либеральные,borderline
26,м,24,Уфа,высшее,ТГУ,семья и дети,доброта и честность,негативное,негативное,Умеренные,reliable
27,ж,38,Челябинск,среднее,,наука и исследование,ум и креативность,резко негативное,резко негативное,Индифферентные,reliable
28,ж,25,Санкт-Петербург,неоконченное высшее,ИТМО,семья и дети,доброта и честность,негативное,негативное,Консервативные,reliable
29,ж,37,Казань,среднее спец.,,семья и дети,ум и креативность,компромиссное,нейтральное,Индифферентные,borderline
30,ж,41,Новосибирск,среднее,,карьера и деньги,юмор и жизнелюбие,компромиссное,компромиссное,Консервативные,borderline
31,м,38,Самара,среднее спец.,,развлечения и отдых,власть и богатство,компромиссное,положительное,Индифферентные,risky
32,м,32,Екатеринбург,неоконченное высшее,УрФУ,семья и дети,власть и богатство,нейтральное,нейтральное,Индифферентные,borderline
33,м,26,Томск,среднее,,карьера и деньги,власть и богатство,нейтральное,компромиссное,Индифферентные,risky
34,м,29,Санкт-Петербург,высшее,МГУ,развлечения и отдых,ум и креативность,нейтральное,негативное,Индифферентные,borderline
35,м,28,Москва,неоконченное высшее,МГТУ им. Баумана,карьера и деньги,власть и богатство,компромиссное,положительное,Либеральные,borderline
36,ж,38,Москва,высшее,ТГУ,семья и дети,смелость и упорство,негативное,негативное,Умеренные,reliable
37,ж,31,Челябинск,среднее спец.,,саморазвитие,власть и богатство,компромиссное,компромиссное,Умеренные,borderline
38,м,38,Самара,высшее,УрФУ,саморазвитие,ум и креативность,компромиссное,негативное,Консервативные,reliable
39,ж,31,Казань,неоконченное высшее,КФУ,карьера и деньги,власть и богатство,положительное,нейтральное,Либеральные,borderline
40,м,38,Казань,высшее,МГТУ им. Баумана,наука и исследование,ум и креативность,негативное,негативное,Консервативные,reliable
41,м,44,Санкт-Петербург,высшее,РАНХиГС,семья и дети,ум и креативность,резко негативное,компромиссное,Умеренные,reliable
42,м,21,Екатеринбург,среднее,,саморазвитие,ум и креативность,компромиссное,резко негативное,Консервативные,reliable
43,ж,33,Томск,высшее,МГУ,развлечения и отдых,власть и богатство,негативное,негативное,Индифферентные,borderline
44,ж,43,Москва,неоконченное высшее,СПбГУ,карьера и деньги,доброта и честность,положительное,нейтральное,Умеренные,borderline
45,ж,35,Уфа,среднее,,развлечения и отдых,красота и здоровье,нейтральное,положительное,Индифферентные,risky
46,ж,45,Екатеринбург,высшее,СПбГУ,наука и исследование,доброта и честность,компромиссное,негативное,Умеренные,reliable
47,м,33,Екатеринбург,высшее,МГТУ им. Баумана,семья и дети,доброта и честность,компромиссное,негативное,Умеренные,reliable
48,м,43,Челябинск,высшее,МГУ,развлечения и отдых,ум и креативность,негативное,компромиссное,Консервативные,borderline
49,м,44,Омск,высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,резко негативное,резко негативное,Консервативные,reliable
50,м,25,Томск,неоконченное высшее,МГУ,саморазвитие,юмор и жизнелюбие,компромиссное,негативное,Индифферентные,borderline
51,ж,35,Самара,неоконченное высшее,МГТУ им. Баумана,семья и дети,смелость и упорство,компромиссное,резко негативное,Консервативные,reliable
52,ж,22,Екатеринбург,неоконченное высшее,МГУ,семья и дети,власть и богатство,компромиссное,компромиссное,Индифферентные,borderline
53,м,42,Челябинск,неоконченное высшее,МИФИ,наука и исследование,ум и креативность,резко негативное,негативное,Консервативные,reliable
54,ж,26,Санкт-Петербург,высшее,ТГУ,саморазвитие,смелость и упорство,нейтральное,негативное,Умеренные,reliable
55,м,41,Санкт-Петербург,высшее,ТГУ,совершенствование мира,ум и креативность,нейтральное,негативное,Социалистические,reliable
56,ж,34,Санкт-Петербург,высшее,УрФУ,семья и дети,доброта и честность,негативное,резко негативное,Умеренные,reliable
57,м,35,Томск,высшее,ИТМО,развлечения и отдых,ум и креативность,нейтральное,негативное,Умеренные,borderline
58,ж,44,Самара,неоконченное высшее,СПбГУ,семья и дети,доброта и честность,резко негативное,компромиссное,Консервативные,reliable
59,ж,36,Новосибирск,высшее,УрФУ,наука и исследование,доброта и честность,резко негативное,компромиссное,Умеренные,reliable
60,м,27,Екатеринбург,высшее,МИФИ,саморазвитие,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
61,м,30,Томск,высшее,ТГУ,наука и исследование,доброта и честность,негативное,резко негативное,Индифферентные,reliable
62,ж,32,Казань,высшее,КФУ,семья и дети,доброта и честность,резко негативное,негативное,Социалистические,reliable
63,ж,27,Казань,высшее,ИТМО,саморазвитие,смелость и упорство,негативное,компромиссное,Умеренные,reliable
64,м,43,Казань,высшее,МГУ,саморазвитие,ум и креативность,компромиссное,негативное,Консервативные,reliable
65,ж,39,Омск,неоконченное высшее,УрФУ,саморазвитие,ум и креативность,нейтральное,положительное,Консервативные,borderline
66,м,23,Новосибирск,высшее,РАНХиГС,совершенствование мира,доброта и честность,резко негативное,негативное,Умеренные,reliable
67,м,40,Уфа,высшее,МИФИ,семья и дети,ум и креативность,резко негативное,резко негативное,Умеренные,reliable
68,м,24,Екатеринбург,среднее,,развлечения и отдых,власть и богатство,положительное,нейтральное,Либеральные,risky
69,ж,36,Москва,высшее,ТГУ,семья и дети,юмор и жизнелюбие,положительное,нейтральное,Либеральные,borderline
70,м,42,Томск,высшее,КФУ,карьера и деньги,власть и богатство,компромиссное,негативное,Индифферентные,borderline
71,ж,44,Омск,высшее,ТГУ,наука и исследование,смелость и упорство,резко негативное,резко негативное,Умеренные,reliable
72,ж,34,Челябинск,высшее,СПбГУ,семья и дети,ум и креативность,резко негативное,компромиссное,Умеренные,reliable
73,м,29,Новосибирск,неоконченное высшее,МИФИ,развлечения и отдых,ум и креативность,нейтральное,нейтральное,Умеренные,borderline
74,ж,32,Самара,высшее,СПбГУ,совершенствование мира,доброта и честность,негативное,резко негативное,Индифферентные,reliable
75,м,38,Омск,высшее,ТГУ,карьера и деньги,власть и богатство,нейтральное,нейтральное,Либертарианство,borderline
76,ж,38,Томск,высшее,ИТМО,карьера и деньги,доброта и честность,негативное,нейтральное,Индифферентные,borderline
77,ж,30,Омск,высшее,РАНХиГС,наука и исследование,ум и креативность,негативное,негативное,Умеренные,reliable
78,ж,24,Санкт-Петербург,высшее,НГУ,саморазвитие,ум и креативность,негативное,резко негативное,Социалистические,reliable
79,ж,28,Уфа,среднее,,развлечения и отдых,юмор и жизнелюбие,положительное,нейтральное,Либеральные,risky
80,ж,34,Уфа,высшее,МГУ,саморазвитие,ум и креативность,положительное,нейтральное,Умеренные,borderline
81,ж,38,Самара,высшее,ИТМО,саморазвитие,смелость и упорство,нейтральное,компромиссное,Умеренные,reliable
82,ж,45,Москва,высшее,МИФИ,наука и исследование,ум и креативность,резко негативное,негативное,Социалистические,reliable
83,м,36,Новосибирск,среднее спец.,,карьера и деньги,красота и здоровье,положительное,компромиссное,Либертарианство,risky
84,м,44,Томск,неоконченное высшее,НГУ,семья и дети,ум и креативность,резко негативное,негативное,Умеренные,reliable
85,ж,31,Самара,высшее,МИФИ,совершенствование мира,доброта и честность,резко негативное,негативное,Индифферентные,reliable
86,м,44,Томск,неоконченное высшее,СПбГУ,развлечения и отдых,юмор и жизнелюбие,положительное,компромиссное,Индифферентные,risky
87,ж,32,Новосибирск,высшее,МГТУ им. Баумана,саморазвитие,ум и креативность,негативное,негативное,Социалистические,reliable
88,ж,28,Челябинск,высшее,МИФИ,карьера и деньги,юмор и жизнелюбие,негативное,нейтральное,Умеренные,borderline
89,м,38,Санкт-Петербург,высшее,УрФУ,карьера и деньги,доброта и честность,резко негативное,нейтральное,Консервативные,reliable
90,ж,33,Санкт-Петербург,высшее,РАНХиГС,саморазвитие,доброта и честность,негативное,резко негативное,Социалистические,reliable
91,м,21,Челябинск,высшее,ТГУ,наука и исследование,доброта и честность,негативное,компромиссное,Умеренные,reliable
92,м,45,Санкт-Петербург,неоконченное высшее,МГУ,семья и дети,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
93,ж,44,Новосибирск,высшее,ИТМО,совершенствование мира,доброта и честность,негативное,резко негативное,Умеренные,reliable
94,ж,36,Самара,нет,,карьера и деньги,власть и богатство,положительное,нейтральное,Либертарианство,risky
95,ж,33,Санкт-Петербург,среднее,,саморазвитие,юмор и жизнелюбие,нейтральное,нейтральное,Либеральные,borderline
96,ж,41,Санкт-Петербург,высшее,МИФИ,семья и дети,смелость и упорство,компромиссное,резко негативное,Умеренные,reliable
97,ж,35,Томск,высшее,МГУ,совершенствование мира,доброта и честность,негативное,резко негативное,Социалистические,reliable
98,ж,35,Уфа,высшее,НГУ,совершенствование мира,ум и креативность,резко негативное,компромиссное,Индифферентные,reliable
99,ж,43,Екатеринбург,высшее,КФУ,совершенствование мира,доброта и честность,резко негативное,резко негативное,Индифферентные,reliable
100,ж,33,Екатеринбург,среднее,,совершенствование мира,ум и креативность,негативное,негативное,Консервативные,reliable
101,ж,22,Екатеринбург,неоконченное высшее,РАНХиГС,развлечения и отдых,красота и здоровье,нейтральное,нейтральное,Индифферентные,risky
102,м,45,Челябинск,высшее,НГУ,карьера и деньги,ум и креативность,негативное,компромиссное,Социалистические,reliable
103,м,32,Челябинск,высшее,НГУ,семья и дети,доброта и честность,негативное,резко негативное,Умеренные,reliable
104,м,32,Омск,высшее,РАНХиГС,семья и дети,ум и креативность,резко негативное,компромиссное,Консервативные,reliable
105,ж,22,Томск,среднее,,развлечения и отдых,юмор и жизнелюбие,компромиссное,положительное,Либеральные,risky
106,ж,25,Челябинск,высшее,ИТМО,наука и исследование,доброта и честность,негативное,резко негативное,Консервативные,reliable
107,м,43,Уфа,высшее,КФУ,саморазвитие,смелость и упорство,компромиссное,резко негативное,Умеренные,reliable
108,ж,31,Самара,неоконченное высшее,УрФУ,развлечения и отдых,доброта и честность,компромиссное,нейтральное,Индифферентные,borderline
109,ж,44,Новосибирск,высшее,РАНХиГС,карьера и деньги,ум и креативность,негативное,резко негативное,Социалистические,reliable
110,м,34,Казань,среднее спец.,,развлечения и отдых,юмор и жизнелюбие,нейтральное,положительное,Либеральные,risky
111,ж,38,Санкт-Петербург,неоконченное высшее,РАНХиГС,семья и дети,доброта и честность,резко негативное,резко негативное,Консервативные,reliable
112,м,38,Челябинск,среднее спец.,,семья и дети,ум и креативность,негативное,компромиссное,Индифферентные,borderline
113,м,21,Новосибирск,высшее,МГТУ им. Баумана,семья и дети,ум и креативность,негативное,нейтральное,Консервативные,reliable
114,ж,35,Новосибирск,высшее,УрФУ,наука и исследование,ум и креативность,негативное,негативное,Умеренные,reliable
115,м,42,Казань,высшее,МГТУ им. Баумана,карьера и деньги,юмор и жизнелюбие,негативное,компромиссное,Индифферентные,borderline
116,ж,30,Уфа,высшее,МГУ,семья и дети,смелость и упорство,негативное,негативное,Индифферентные,reliable
117,ж,45,Казань,высшее,МГУ,карьера и деньги,юмор и жизнелюбие,нейтральное,компромиссное,Индифферентные,borderline
118,ж,42,Санкт-Петербург,высшее,МГУ,саморазвитие,доброта и честность,негативное,негативное,Умеренные,reliable
119,ж,41,Казань,высшее,МГУ,карьера и деньги,доброта и честность,резко негативное,нейтральное,Консервативные,reliable
120,м,34,Екатеринбург,высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,негативное,негативное,Умеренные,reliable
121,м,37,Уфа,высшее,УрФУ,саморазвитие,смелость и упорство,негативное,резко негативное,Умеренные,reliable
122,м,26,Санкт-Петербург,высшее,МИФИ,саморазвитие,ум и креативность,резко негативное,резко негативное,Социалистические,reliable
123,ж,40,Самара,высшее,СПбГУ,карьера и деньги,доброта и честность,нейтральное,негативное,Умеренные,borderline
124,ж,35,Москва,высшее,ТГУ,семья и дети,смелость и упорство,резко негативное,компромиссное,Консервативные,reliable
125,м,38,Омск,неоконченное высшее,РАНХиГС,наука и исследование,доброта и честность,негативное,резко негативное,Умеренные,reliable
126,м,31,Уфа,высшее,МГУ,семья и дети,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
127,ж,30,Томск,неоконченное высшее,РАНХиГС,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
128,м,29,Самара,высшее,НГУ,совершенствование мира,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
129,ж,23,Уфа,высшее,УрФУ,семья и дети,доброта и честность,негативное,негативное,Либеральные,borderline
130,ж,41,Уфа,высшее,УрФУ,семья и дети,смелость и упорство,резко негативное,негативное,Умеренные,reliable
131,м,25,Казань,нет,,развлечения и отдых,юмор и жизнелюбие,компромиссное,нейтральное,Либеральные,risky
132,м,45,Челябинск,высшее,НГУ,семья и дети,ум и креативность,компромиссное,резко негативное,Консервативные,reliable
133,м,32,Омск,высшее,МИФИ,семья и дети,доброта и честность,резко негативное,нейтральное,Индифферентные,reliable
134,ж,42,Омск,неоконченное высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,негативное,негативное,Консервативные,reliable
135,ж,22,Самара,неоконченное высшее,СПбГУ,семья и дети,юмор и жизнелюбие,компромиссное,компромиссное,Индифферентные,borderline
136,м,37,Томск,высшее,КФУ,наука и исследование,смелость и упорство,негативное,нейтральное,Умеренные,reliable
137,м,33,Самара,высшее,УрФУ,совершенствование мира,ум и креативность,резко негативное,резко негативное,Умеренные,reliable
138,м,36,Омск,высшее,МГУ,совершенствование мира,доброта и честность,негативное,негативное,Индифферентные,reliable
139,м,34,Казань,высшее,СПбГУ,саморазвитие,юмор и жизнелюбие,нейтральное,негативное,Индифферентные,borderline
140,м,40,Уфа,среднее спец.,,карьера и деньги,власть и богатство,положительное,положительное,Либертарианство,risky
141,м,42,Уфа,среднее,,семья и дети,ум и креативность,нейтральное,резко негативное,Консервативные,reliable
142,м,36,Томск,среднее,,семья и дети,доброта и честность,негативное,компромиссное,Консервативные,reliable
143,ж,45,Новосибирск,высшее,ИТМО,карьера и деньги,доброта и честность,нейтральное,негативное,Либертарианство,borderline
144,м,26,Санкт-Петербург,высшее,МИФИ,семья и дети,доброта и честность,компромиссное,компромиссное,Умеренные,reliable
145,ж,33,Казань,высшее,КФУ,семья и дети,смелость и упорство,резко негативное,негативное,Умеренные,reliable
146,ж,34,Омск,среднее,,карьера и деньги,власть и богатство,нейтральное,нейтральное,Либертарианство,borderline
147,ж,23,Санкт-Петербург,высшее,НГУ,саморазвитие,доброта и честность,резко негативное,негативное,Умеренные,reliable
148,м,34,Омск,высшее,МГУ,семья и дети,власть и богатство,нейтральное,нейтральное,Либеральные,borderline
149,м,22,Томск,высшее,НГУ,развлечения и отдых,ум и креативность,негативное,нейтральное,Индифферентные,borderline
150,ж,45,Самара,высшее,РАНХиГС,семья и дети,доброта и честность,негативное,резко негативное,Умеренные,reliable
151,ж,25,Томск,высшее,ТГУ,семья и дети,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
152,ж,29,Омск,высшее,РАНХиГС,семья и дети,смелость и упорство,негативное,резко негативное,Социалистические,reliable
153,ж,43,Санкт-Петербург,неоконченное высшее,УрФУ,наука и исследование,ум и креативность,негативное,резко негативное,Умеренные,reliable
154,м,43,Самара,высшее,СПбГУ,карьера и деньги,ум и креативность,резко негативное,негативное,Умеренные,reliable
155,м,35,Челябинск,неоконченное высшее,СПбГУ,семья и дети,смелость и упорство,резко негативное,резко негативное,Социалистические,reliable
156,м,23,Самара,неоконченное высшее,МИФИ,карьера и деньги,юмор и жизнелюбие,негативное,компромиссное,Умеренные,borderline
157,м,45,Томск,высшее,МГУ,совершенствование мира,ум и креативность,негативное,негативное,Индифферентные,reliable
158,ж,37,Санкт-Петербург,высшее,ИТМО,семья и дети,ум и креативность,негативное,резко негативное,Консервативные,reliable
159,м,39,Новосибирск,высшее,РАНХиГС,семья и дети,смелость и упорство,компромиссное,негативное,Умеренные,reliable
160,ж,45,Екатеринбург,нет,,развлечения и отдых,юмор и жизнелюбие,нейтральное,положительное,Либеральные,risky
161,м,36,Томск,среднее,,развлечения и отдых,власть и богатство,положительное,положительное,Либеральные,risky
162,ж,31,Самара,среднее спец.,,саморазвитие,юмор и жизнелюбие,компромиссное,нейтральное,Умеренные,borderline
163,м,28,Санкт-Петербург,высшее,МГТУ им. Баумана,совершенствование мира,доброта и честность,компромиссное,нейтральное,Социалистические,reliable
164,ж,44,Екатеринбург,нет,,карьера и деньги,юмор и жизнелюбие,положительное,положительное,Либеральные,risky
165,ж,37,Екатеринбург,среднее,,развлечения и отдых,власть и богатство,компромиссное,положительное,Либертарианство,risky
166,м,38,Санкт-Петербург,высшее,ТГУ,наука и исследование,ум и креативность,негативное,негативное,Консервативные,reliable
167,ж,38,Санкт-Петербург,высшее,МИФИ,наука и исследование,доброта и честность,резко негативное,нейтральное,Умеренные,reliable
168,ж,33,Самара,среднее спец.,,развлечения и отдых,власть и богатство,положительное,нейтральное,Либеральные,risky
169,ж,43,Омск,высшее,НГУ,саморазвитие,ум и креативность,резко негативное,негативное,Умеренные,reliable
170,ж,44,Челябинск,среднее,,слава и влияние,юмор и жизнелюбие,положительное,нейтральное,Индифферентные,risky
171,м,42,Томск,высшее,МГУ,саморазвитие,доброта и честность,нейтральное,резко негативное,Консервативные,reliable
172,ж,22,Новосибирск,высшее,РАНХиГС,наука и исследование,доброта и честность,негативное,компромиссное,Консервативные,reliable
173,м,27,Омск,высшее,НГУ,карьера и деньги,ум и креативность,нейтральное,нейтральное,Умеренные,borderline
174,м,44,Новосибирск,неоконченное высшее,ИТМО,карьера и деньги,доброта и честность,компромиссное,нейтральное,Индифферентные,borderline
175,ж,31,Казань,среднее спец.,,развлечения и отдых,власть и богатство,положительное,нейтральное,Индифферентные,risky
176,м,30,Омск,высшее,УрФУ,саморазвитие,смелость и упорство,негативное,резко негативное,Консервативные,reliable
177,ж,33,Новосибирск,высшее,ТГУ,карьера и деньги,доброта и честность,резко негативное,нейтральное,Консервативные,reliable
178,ж,38,Уфа,высшее,НГУ,семья и дети,ум и креативность,негативное,негативное,Индифферентные,reliable
179,м,28,Санкт-Петербург,высшее,МИФИ,семья и дети,ум и креативность,резко негативное,негативное,Индифферентные,reliable
180,ж,36,Екатеринбург,неоконченное высшее,ТГУ,семья и дети,ум и креативность,негативное,нейтральное,Консервативные,reliable
181,м,44,Новосибирск,высшее,НГУ,совершенствование мира,доброта и честность,резко негативное,компромиссное,Умеренные,reliable
182,м,30,Москва,высшее,РАНХиГС,саморазвитие,власть и богатство,положительное,компромиссное,Умеренные,borderline
183,ж,25,Казань,высшее,СПбГУ,семья и дети,ум и креативность,резко негативное,резко негативное,Умеренные,reliable
184,м,30,Новосибирск,высшее,МГТУ им. Баумана,наука и исследование,ум и креативность,резко негативное,негативное,Умеренные,reliable
185,м,31,Москва,высшее,КФУ,саморазвитие,доброта и честность,резко негативное,негативное,Консервативные,reliable
186,м,32,Москва,высшее,МИФИ,семья и дети,доброта и честность,компромиссное,резко негативное,Консервативные,reliable
187,ж,24,Самара,высшее,КФУ,карьера и деньги,доброта и честность,нейтральное,резко негативное,Умеренные,reliable
188,м,36,Екатеринбург,неоконченное высшее,РАНХиГС,развлечения и отдых,ум и креативность,негативное,нейтральное,Индифферентные,borderline
189,м,22,Челябинск,высшее,НГУ,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
190,ж,37,Москва,высшее,ИТМО,саморазвитие,ум и креативность,резко негативное,резко негативное,Умеренные,reliable
191,м,29,Екатеринбург,высшее,МГУ,саморазвитие,ум и креативность,негативное,резко негативное,Социалистические,reliable
192,м,36,Казань,среднее,,карьера и деньги,юмор и жизнелюбие,нейтральное,компромиссное,Либеральные,risky
193,ж,33,Томск,среднее,,карьера и деньги,юмор и жизнелюбие,нейтральное,положительное,Либеральные,risky
194,ж,38,Уфа,высшее,КФУ,совершенствование мира,ум и креативность,резко негативное,нейтральное,Консервативные,reliable
195,м,33,Екатеринбург,высшее,НГУ,семья и дети,смелость и упорство,негативное,резко негативное,Социалистические,reliable
196,м,45,Екатеринбург,высшее,СПбГУ,саморазвитие,доброта и честность,компромиссное,резко негативное,Умеренные,reliable
197,м,35,Уфа,высшее,МГУ,семья и дети,смелость и упорство,компромиссное,негативное,Консервативные,reliable
198,ж,45,Екатеринбург,высшее,НГУ,карьера и деньги,ум и креативность,негативное,резко негативное,Консервативные,reliable
199,м,44,Томск,высшее,МГУ,карьера и деньги,смелость и упорство,резко негативное,резко негативное,Умеренные,reliable
200,ж,25,Томск,высшее,ИТМО,саморазвитие,ум и креативность,резко негативное,негативное,Социалистические,reliable
201,ж,38,Томск,среднее спец.,,развлечения и отдых,власть и богатство,нейтральное,положительное,Индифферентные,risky
202,м,23,Москва,высшее,РАНХиГС,карьера и деньги,власть и богатство,негативное,компромиссное,Либеральные,borderline
203,м,36,Самара,высшее,МГУ,семья и дети,доброта и честность,резко негативное,резко негативное,Социалистические,reliable
204,м,43,Томск,неоконченное высшее,ИТМО,развлечения и отдых,власть и богатство,нейтральное,положительное,Либеральные,risky
205,ж,36,Санкт-Петербург,неоконченное высшее,МИФИ,наука и исследование,доброта и честность,негативное,негативное,Умеренные,reliable
206,м,44,Москва,высшее,РАНХиГС,карьера и деньги,юмор и жизнелюбие,компромиссное,компромиссное,Умеренные,borderline
207,ж,36,Казань,среднее,,карьера и деньги,доброта и честность,нейтральное,нейтральное,Либеральные,borderline
208,ж,25,Новосибирск,неоконченное высшее,ИТМО,карьера и деньги,смелость и упорство,компромиссное,резко негативное,Умеренные,reliable
209,м,22,Томск,высшее,КФУ,саморазвитие,ум и креативность,нейтральное,компромиссное,Индифферентные,borderline
210,ж,40,Омск,высшее,ИТМО,карьера и деньги,ум и креативность,компромиссное,нейтральное,Либертарианство,borderline
211,ж,43,Новосибирск,высшее,СПбГУ,саморазвитие,доброта и честность,негативное,резко негативное,Умеренные,reliable
212,ж,23,Томск,неоконченное высшее,КФУ,развлечения и отдых,ум и креативность,негативное,нейтральное,Либеральные,borderline
213,м,45,Санкт-Петербург,высшее,МГТУ им. Баумана,карьера и деньги,ум и креативность,компромиссное,компромиссное,Умеренные,borderline
214,м,31,Уфа,неоконченное высшее,КФУ,семья и дети,смелость и упорство,резко негативное,компромиссное,Умеренные,reliable
215,м,29,Новосибирск,неоконченное высшее,УрФУ,семья и дети,доброта и честность,компромиссное,негативное,Социалистические,reliable
216,м,30,Челябинск,среднее,,слава и влияние,власть и богатство,положительное,компромиссное,Индифферентные,risky
217,м,43,Уфа,высшее,УрФУ,семья и дети,доброта и честность,негативное,компромиссное,Социалистические,reliable
218,ж,33,Москва,среднее спец.,,карьера и деньги,власть и богатство,нейтральное,положительное,Либеральные,risky
219,ж,39,Санкт-Петербург,неоконченное высшее,ТГУ,наука и исследование,ум и креативность,негативное,негативное,Консервативные,reliable
220,ж,44,Самара,высшее,СПбГУ,саморазвитие,ум и креативность,компромиссное,компромиссное,Индифферентные,borderline
